form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds
hasonlanak	22	hason	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	831860	8570080167	hasonulnak	347	0.06609195402298851	-2.716708263845325
hasonlottak	18	hason	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	831860	8570080167	hasonultak	188	0.10052910052910052	-2.297308035893202
hiányzana	92	hiány	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	66161846	8570080167	hiányozna	11248	0.00826740154680416	-4.79543502163957
hiányzani	64	hiány	[/V][Inf]	cselekszenek/cselekednek	66161846	8570080167	hiányozni	29742	0.002185388158558316	-6.125961819274488
hiányzotok	5	hiány	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	66161846	8570080167	hiányoztok	938	0.006389776357827476	-5.0530560099802075
hiányzanak	2230	hiány	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	66161846	8570080167	hiányoznak	75322	0.029619107045656706	-3.5193356176037778
hiányzottak	277	hiány	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	66161846	8570080167	hiányoztak	21899	0.012694063926940639	-4.366620802113955
hírleni	2	hír	[/V][Inf]	cselekszenek/cselekednek	85212	8570080167	hírelni	30	0.0967741935483871	-2.3353749158170367
hírlenek	3	hír	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	85212	8570080167	hírelnek	3	1	0
hólyagzani	11	hólyag	[/V][Inf]	cselekszenek/cselekednek	596	8570080167	hólyagozni	13	0.8571428571428571	-0.15415067982725836
homálylani	2	homály	[/V][Inf]	cselekszenek/cselekednek	785	8570080167	homályolni	1	1.5	0.4054651081081644
hullámzana	85	hullám	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	1329613	8570080167	hullámozna	137	0.6231884057971014	-0.47290638890369696
hullámzani	518	hullám	[/V][Inf]	cselekszenek/cselekednek	1329613	8570080167	hullámozni	568	0.9121265377855887	-0.09197655096044231
hullámzanak	899	hullám	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	1329613	8570080167	hullámoznak	652	1.3782542113323124	0.3208176340478797
hullámzottak	319	hullám	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	1329613	8570080167	hullámoztak	452	0.7064017660044151	-0.34757112968926174
igyekszeni	1	igyek	[/V][Inf]	cselekszenek/cselekednek	163294398	8570080167	igyekezni	10944	1.827318410232983e-4	-8.607490829397017
igyekszetek	10	igyek	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	163294398	8570080167	igyekeztek	103996	1.057722818927469e-4	-9.154222058755234
igyekszenek	6951	igyek	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	163294398	8570080167	igyekeznek	171561	0.04052179387043751	-3.2059153293467126
iramlanak	209	iram	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	11891	8570080167	iramolnak	1	105	4.653960350157523
ivarzani	62	ivar	[/V][Inf]	cselekszenek/cselekednek	5234	8570080167	ivarozni	3	15.75	2.7568403652716422
ízlene	842	íz	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	2195683	8570080167	ízelne	1	421.5	6.04381977744191
ízleni	4571	íz	[/V][Inf]	cselekszenek/cselekednek	2195683	8570080167	ízelni	23	190.5	5.249652194566756
ízletek	10	íz	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	2195683	8570080167	ízeltek	8	1.2222222222222223	0.20067069546215124
ízlenek	1253	íz	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	2195683	8570080167	ízelnek	1	627	6.440946540632921
ízlettek	1282	íz	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	2195683	8570080167	ízeltek	4	256.6	5.547518452181536
kékleni	30	kék	[/V][Inf]	cselekszenek/cselekednek	22009	8570080167	kékelni	2	10.333333333333334	2.3353749158170367
kéklenek	212	kék	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	22009	8570080167	kékelnek	1	106.5	4.66814498514948
kimagaslana	14	kimagas	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	120962	8570080167	kimagasodna	8	1.6666666666666667	0.5108256237659907
kimagaslani	48	kimagas	[/V][Inf]	cselekszenek/cselekednek	120962	8570080167	kimagasodni	41	1.1666666666666667	0.15415067982725836
kimagaslanak	644	kimagas	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	120962	8570080167	kimagasodnak	55	11.517857142857142	2.4438986260606232
kimagaslottak	215	kimagas	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	120962	8570080167	kimagasodtak	23	9	2.1972245773362196
ködleni	8	köd	[/V][Inf]	cselekszenek/cselekednek	14017	8570080167	ködölni	41	0.21428571428571427	-1.540445040947149
ködlenek	72	köd	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	14017	8570080167	ködölnek	21	3.3181818181818183	1.1994169877900753
ködlöttek	31	köd	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	14017	8570080167	ködöltek	9	3.2	1.1631508098056809
kotlana	7	kot	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	108182	8570080167	kotolna	8	0.8888888888888888	-0.11778303565638351
kotlani	470	kot	[/V][Inf]	cselekszenek/cselekednek	108182	8570080167	kotolni	21	21.40909090909091	3.063815640658102
kotlanak	449	kot	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	108182	8570080167	kotolnak	6	64.28571428571429	4.163337433709052
kotlottak	120	kot	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	108182	8570080167	kotoltak	7	15.125	2.716349003916905
lecsillapszanak	9	lecsillap	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	359454	8570080167	lecsillapodnak	779	0.01282051282051282	-4.356708826689592
lélegzene	26	léleg	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	15485442	8570080167	lélegezne	328	0.08206686930091185	-2.5002208847610428
lélegzeni	531	léleg	[/V][Inf]	cselekszenek/cselekednek	15485442	8570080167	lélegezni	14415	0.036903440621531634	-3.2994504905064748
lélegzetek	5	léleg	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	15485442	8570080167	lélegeztek	997	0.006012024048096192	-5.113993807083409
lélegzenek	209	léleg	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	15485442	8570080167	lélegeznek	3829	0.05483028720626632	-2.903512551457223
lúdbőrzeni	3	lúdbőr	[/V][Inf]	cselekszenek/cselekednek	16048	8570080167	lúdbőrözni	88	0.0449438202247191	-3.1023420086122493
