base	cat1_weight	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	lemma_freq_corrected	stem_vowel	long_cluster	consonants
pazév	0.683236407788235	pazév	hotelban/hotelben	nonce word response	pazévnál	pazévnél	13	13	0	NA	NA	é	nál	NA	a	FALSE	NA
pijél	0.6397573780139577	pijél	hotelban/hotelben	nonce word response	pijélnál	pijélnél	2	24	-2.120263536200091	NA	NA	é	nál	NA	i	FALSE	NA
pisély	0.720944249383578	pisé¬	hotelban/hotelben	nonce word response	pisélyban	pisélyben	3	24	-1.8325814637483104	NA	NA	é	ban	NA	i	FALSE	NA
pítend	0.5486759526287834	pítend	hotelban/hotelben	nonce word response	pítendban	pítendben	3	26	-1.9095425048844383	NA	NA	e	ban	NA	í	FALSE	NA
pivéd	0.7195962442679407	pivéd	hotelban/hotelben	nonce word response	pivédban	pivédben	7	20	-0.9650808960435872	NA	NA	é	ban	NA	i	FALSE	NA
prately	0.49482150254111046	prate¬	hotelban/hotelben	nonce word response	pratelynak	pratelynek	6	23	-1.2321436812926323	NA	NA	e	nak	NA	a	FALSE	NA
pristél	0.5533663269241005	pristél	hotelban/hotelben	nonce word response	pristélban	pristélben	2	24	-2.120263536200091	NA	NA	é	ban	NA	i	TRUE	NA
priszec	0.3884231796908865	prißec	hotelban/hotelben	nonce word response	priszecban	priszecben	1	26	-2.6026896854443837	NA	NA	e	ban	NA	i	FALSE	NA
priszkenc	0.30767811171629383	prißkenc	hotelban/hotelben	nonce word response	priszkencnak	priszkencnek	2	25	-2.159484249353372	NA	NA	e	nak	NA	i	TRUE	NA
rapszek	0.6962502284639269	rapßek	hotelban/hotelben	nonce word response	rapszeknál	rapszeknél	6	23	-1.2321436812926323	NA	NA	e	nál	NA	a	TRUE	NA
ronszek	0.46274139199744413	ronßek	hotelban/hotelben	nonce word response	ronszekban	ronszekben	6	20	-1.0986122886681098	NA	NA	e	ban	NA	o	TRUE	NA
ronvet	0.346227978866718	ronvet	hotelban/hotelben	nonce word response	ronvetnak	ronvetnek	5	24	-1.4271163556401458	NA	NA	e	nak	NA	o	TRUE	NA
sartely	0.5499450423394973	sarte¬	hotelban/hotelben	nonce word response	sartelyban	sartelyben	9	17	-0.587786664902119	NA	NA	e	ban	NA	a	TRUE	NA
sihen	0.513095350229101	sihen	hotelban/hotelben	nonce word response	sihennál	sihennél	1	26	-2.6026896854443837	NA	NA	e	nál	NA	i	FALSE	NA
sortem	0.420731948673425	sortem	hotelban/hotelben	nonce word response	sortemnál	sortemnél	5	24	-1.4271163556401458	NA	NA	e	nál	NA	o	TRUE	NA
spábét	0.5909758890146657	spábét	hotelban/hotelben	nonce word response	spábétban	spábétben	21	6	1.1451323043030026	NA	NA	é	ban	NA	á	FALSE	NA
spanél	0.6253864767622556	spanél	hotelban/hotelben	nonce word response	spanélnál	spanélnél	17	9	0.5877866649021191	NA	NA	é	nál	NA	a	FALSE	NA
spatel	0.5184327615262226	spatel	hotelban/hotelben	nonce word response	spatelnak	spatelnek	4	22	-1.5260563034950494	NA	NA	e	nak	NA	a	FALSE	NA
spáten	0.37190332791257275	spáten	hotelban/hotelben	nonce word response	spátennak	spátennek	9	20	-0.7419373447293773	NA	NA	e	nak	NA	á	FALSE	NA
spicet	0.408372400983064	spicet	hotelban/hotelben	nonce word response	spicetnak	spicetnek	2	25	-2.159484249353372	NA	NA	e	nak	NA	i	FALSE	NA
spivél	0.6836619439004514	spivél	hotelban/hotelben	nonce word response	spivélnak	spivélnek	5	24	-1.4271163556401458	NA	NA	é	nak	NA	i	FALSE	NA
spizec	0.4522142782337087	spizec	hotelban/hotelben	nonce word response	spizecnak	spizecnek	3	26	-1.9095425048844383	NA	NA	e	nak	NA	i	FALSE	NA
sporzem	0.44244565067455266	sporzem	hotelban/hotelben	nonce word response	sporzemnak	sporzemnek	4	25	-1.6486586255873816	NA	NA	e	nak	NA	o	TRUE	NA
