my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
,,,,,,,,,,,,,,,,,ribegzek,ribegzem,left,3.839,0,121,121,63,1,64,ribegzik,ribegzel,NA,NA,Te bizony sokat ribegzel.,Én is sokat...,ribegzek,ribegzem,lakik,-zik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,spügzünk,spügözünk,right,7.755,0,122,122,143,1,90,spügzik / spügözik,"spügzik, spügözni",ünk,NA,"János imád spügözni, ezért sokat spügzik.",Mi ritkán...,spügzünk,spügözünk,cselekszik,-zik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,femlek,femlem,left,3.374,0,123,123,57,1,58,femlik,femlesz,NA,NA,Te bizony sokat femlesz.,Én is sokat...,femlek,femlem,lakik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,játlunk,játozunk,left,5.006,0,124,124,145,1,92,játlik / játozik,"játlik, játozni",ünk,NA,"János imád játozni, ezért sokat játlik.",Mi ritkán...,játlunk,játozunk,cselekszik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,pratelynek,pratelynak,left,3.652,0,125,125,47,1,102,prately,prately,nak,e,Ez itt egy prately.,Elneveztem a kutyámat...,pratelynek,pratelynak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,dihelynek,dihelynak,left,4.359,0,126,126,20,1,75,dihely,dihely,nak,e,Ez itt egy dihely.,Elneveztem a kutyámat...,dihelynek,dihelynak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,csubozunk,csubzunk,right,4.607,0,127,127,111,1,58,csubzik / csubozik,"csubzik, csubozni",ünk,NA,"János imád csubozni, ezért sokat csubzik.",Mi ritkán...,csubzunk,csubozunk,cselekszik,-zik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,mihágzotok,mihágoztok,left,6.871,0,128,128,118,1,65,mihágzik / mihágozik,"mihágzik, mihágozni",tek,NA,"János imád mihágozni, ezért sokat mihágzik.",Ti ritkán...,mihágzotok,mihágoztok,cselekszik,-zik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,fivénylek,fivénylem,left,3.399,0,129,129,78,1,79,fivénylik,fivénylesz,NA,NA,Te bizony sokat fivénylesz.,Én is sokat...,fivénylek,fivénylem,lakik,-lik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,brivegzem,brivegzek,left,4.177,0,130,130,70,1,71,brivegzik,brivegzel,NA,NA,Te bizony sokat brivegzel.,Én is sokat...,brivegzek,brivegzem,lakik,-zik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,míjozunk,míjzunk,right,6.119,0,131,131,114,1,61,míjzik / míjozik,"míjzik, míjozni",ünk,NA,"János imád míjozni, ezért sokat míjzik.",Mi ritkán...,míjzunk,míjozunk,cselekszik,-zik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,nidétban,nidétben,right,4.586,0,132,132,39,1,94,nidét,nidét,ban,é,Ez itt egy nidét.,Ott vagyunk a...,nidétben,nidétban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,klazérban,klazérben,right,3.266,0,133,133,51,1,106,klazér,klazér,ban,é,Ez itt egy klazér.,Ott vagyunk a...,klazérben,klazérban,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,bivégszek,bivégszem,right,4.17,0,134,134,68,1,69,bivégszik,bivégszel,NA,NA,Te bizony sokat bivégszel.,Én is sokat...,bivégszek,bivégszem,lakik,-szik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,metégszenek,metégednek,left,5.335,0,135,135,112,1,59,metégszik / metégedik,"metégszik, metégedni",nek,NA,"János imád metégedni, ezért sokat metégszik.",Ők ritkán...,metégszenek,metégednek,cselekszik,-szik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,gyihegeztek,gyihegzetek,right,5.862,0,136,136,124,1,71,gyihegzik / gyihegezik,"gyihegzik, gyihegezni",tek,NA,"János imád gyihegezni, ezért sokat gyihegzik.",Ti ritkán...,gyihegzetek,gyihegeztek,cselekszik,-zik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,spüjzöm,spüjzök,right,4.235,0,137,137,59,1,60,spüjzik,spüjzöl,NA,NA,Te bizony sokat spüjzöl.,Én is sokat...,spüjzök,spüjzöm,lakik,-zik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,fluboklotok,flubokoztok,left,5.145,0,138,138,151,1,98,fluboklik / flubokozik,"fluboklik, flubokozni",tek,NA,"János imád flubokozni, ezért sokat fluboklik.",Ti ritkán...,fluboklotok,flubokoztok,cselekszik,-lik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,flátszom,flátszok,left,3.49,0,139,139,98,1,99,flátszik,flátszol,NA,NA,Te bizony sokat flátszol.,Én is sokat...,flátszok,flátszom,lakik,-szik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,flézletek,flézeztek,left,5.794,0,140,140,134,1,81,flézlik / flézezik,"flézlik, flézezni",tek,NA,"János imád flézezni, ezért sokat flézlik.",Ti ritkán...,flézletek,flézeztek,cselekszik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,fibamlom,fibamlok,right,9.676,0,141,141,65,1,66,fibamlik,fibamlasz,NA,NA,Te bizony sokat fibamlasz.,Én is sokat...,fibamlok,fibamlom,lakik,-lik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,spivélnek,spivélnak,left,4.142,0,142,142,27,1,82,spivél,spivél,nak,é,Ez itt egy spivél.,Elneveztem a kutyámat...,spivélnek,spivélnak,dzsungel,NA,NA,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,dárakszunk,dárakodunk,right,6.637,0,143,143,126,1,73,dárakszik / dárakodik,"dárakszik, dárakodni",ünk,NA,"János imád dárakodni, ezért sokat dárakszik.",Mi ritkán...,dárakszunk,dárakodunk,cselekszik,-szik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,sprűröznek,sprűrlenek,left,5.13,0,144,144,135,1,82,sprűrlik / sprűrözik,"sprűrlik, sprűrözni",nek,NA,"János imád sprűrözni, ezért sokat sprűrlik.",Ők ritkán...,sprűrlenek,sprűröznek,cselekszik,-lik,1,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
,,,,,,,,,,,,,,,,,prilepedünk,prilepszünk,right,7.056,0,145,145,161,1,108,prilepszik / prilepedik,"prilepszik, prilepedni",ünk,NA,"János imád prilepedni, ezért sokat prilepszik.",Mi ritkán...,prilepszünk,prilepedünk,cselekszik,-szik,2,PR2068,1989,nő,nem,2022-04-17_22h22.57.353,hesp_baseline,2021.2.3,Linux i686,11.93602292
