my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
,,,,,,,,,,,,,,,,,buhényben,buhényban,right,2.375,0,58,58,43,1,44,buhény,buhény,ban,é,Ez itt egy buhény.,Ott vagyunk a...,buhényben,buhényban,dzsungel,NA,NA,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,sprédlek,sprédlem,left,3.538,0,59,59,70,1,17,sprédlik,sprédlesz,NA,NA,Te bizony sokat sprédlesz.,Én is sokat...,sprédlek,sprédlem,lakik,-lik,1,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,hosétnak,hosétnek,right,6.792,0,60,60,8,1,9,hosét,hosét,nak,é,Ez itt egy hosét.,Elneveztem a kutyámat...,hosétnek,hosétnak,dzsungel,NA,NA,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,gyivádzom,gyivádzok,left,5.909,0,61,61,87,1,34,gyivádzik,gyivádzol,NA,NA,Te bizony sokat gyivádzol.,Én is sokat...,gyivádzok,gyivádzom,lakik,-zik,2,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,brülöslünk,brülösözünk,right,5.522,0,62,62,109,1,2,brülöslik / brülösözik,"brülöslik, brülösözni",ünk,NA,"János imád brülösözni, ezért sokat brülöslik.",Mi ritkán...,brülöslünk,brülösözünk,cselekszik,-lik,2,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,feténylem,feténylek,right,5.455,0,63,63,85,1,32,feténylik,feténylesz,NA,NA,Te bizony sokat feténylesz.,Én is sokat...,feténylek,feténylem,lakik,-lik,2,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,pilégednek,pilégszenek,right,14.14,0,64,64,150,1,43,pilégszik / pilégedik,"pilégszik, pilégedni",nek,NA,"János imád pilégedni, ezért sokat pilégszik.",Ők ritkán...,pilégszenek,pilégednek,cselekszik,-szik,2,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,spűmlöm,spűmlök,right,6.125,0,65,65,86,1,33,spűmlik,spűmlesz,NA,NA,Te bizony sokat spűmlesz.,Én is sokat...,spűmlök,spűmlöm,lakik,-lik,1,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,flözlöm,flözlök,left,4.49,0,66,66,74,1,21,flözlik,flözlesz,NA,NA,Te bizony sokat flözlesz.,Én is sokat...,flözlök,flözlöm,lakik,-lik,1,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,bralképben,bralképban,left,7.323,0,67,67,12,1,13,bralkép,bralkép,ban,é,Ez itt egy bralkép.,Ott vagyunk a...,bralképben,bralképban,dzsungel,NA,NA,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,trodélyban,trodélyben,left,15.145,0,68,68,28,1,29,trodély,trodély,ban,é,Ez itt egy trodély.,Ott vagyunk a...,trodélyben,trodélyban,dzsungel,NA,NA,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,tarhézben,tarhézban,right,8.063,0,69,69,25,1,26,tarhéz,tarhéz,ban,é,Ez itt egy tarhéz.,Ott vagyunk a...,tarhézben,tarhézban,dzsungel,NA,NA,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,rokszok,rokszom,right,3.037,0,70,70,101,1,48,rokszik,rokszol,NA,NA,Te bizony sokat rokszol.,Én is sokat...,rokszok,rokszom,lakik,-szik,1,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,prögöztök,prögzötök,right,20.258,0,71,71,151,1,44,prögzik / prögözik,"prögzik, prögözni",tek,NA,"János imád prögözni, ezért sokat prögzik.",Ti ritkán...,prögzötök,prögöztök,cselekszik,-zik,1,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
,,,,,,,,,,,,,,,,,sihennél,sihennál,left,3.156,0,72,72,18,1,19,sihen,sihen,nál,e,Ez itt egy sihen.,Nincs is jobb egy jó...,sihennél,sihennál,dzsungel,NA,NA,PR2021,1975,nő,nem,2022-05-02_20h42.19,hesp_baseline,2021.2.3,MacIntel,58.82352941
