my_list,key.keys,key.rt,key_2.keys,key_2.rt,keyboard_input_2.keys,keyboard_input_2.rt,key_3.keys,key_3.rt,keyboard_input_3.keys,keyboard_input_3.rt,key_4.keys,key_4.rt,keyboard_input_4.keys,keyboard_input_4.rt,key_5.keys,key_5.rt,my_button1,my_button2,keyboard_input.keys,keyboard_input.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,rowname,word,prompt,suffix,vowel,carrier_sentence,target_sentence,target1,target2,category,derivational,nsyl,Azonosító,Melyik évben születtél?,Mi a nemed?,Tanultál nyelvészetet?,date,expName,psychopyVersion,OS,frameRate
,,,,,,,,,,,,,,,,,tomlok,tomlom,left,4.095,0,39,39,86,1,87,tomlik,tomlasz,NA,NA,Te bizony sokat tomlasz.,Én is sokat...,tomlok,tomlom,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,zarcégnál,zarcégnél,right,2.339,0,40,40,29,1,84,zarcég,zarcég,nál,é,Ez itt egy zarcég.,Nincs is jobb egy jó...,zarcégnél,zarcégnál,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,lihadzom,lihadzok,left,2.817,0,41,41,101,1,102,lihadzik,lihadzol,NA,NA,Te bizony sokat lihadzol.,Én is sokat...,lihadzok,lihadzom,lakik,-zik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,trigencnak,trigencnek,right,5.347,0,42,42,31,1,86,trigenc,trigenc,nak,e,Ez itt egy trigenc.,Elneveztem a kutyámat...,trigencnek,trigencnak,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,sponylanak,sponyoznak,right,12.128,0,43,43,125,1,72,sponylik / sponyozik,"sponylik, sponyozni",nek,NA,"János imád sponyozni, ezért sokat sponylik.",Ők ritkán...,sponylanak,sponyoznak,cselekszik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,pratánylok,pratánylom,left,4.112,0,44,44,95,1,96,pratánylik,pratánylasz,NA,NA,Te bizony sokat pratánylasz.,Én is sokat...,pratánylok,pratánylom,lakik,-lik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,driládzom,driládzok,left,3.594,0,45,45,67,1,68,driládzik,driládzol,NA,NA,Te bizony sokat driládzol.,Én is sokat...,driládzok,driládzom,lakik,-zik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,friszlok,friszlom,right,3.65,0,46,46,97,1,98,friszlik,friszlasz,NA,NA,Te bizony sokat friszlasz.,Én is sokat...,friszlok,friszlom,lakik,-lik,1,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,nyábétban,nyábétben,right,2.72,0,47,47,21,1,76,nyábét,nyábét,ban,é,Ez itt egy nyábét.,Ott vagyunk a...,nyábétben,nyábétban,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,spizecnek,spizecnak,left,3.202,0,48,48,6,1,61,spizec,spizec,nak,e,Ez itt egy spizec.,Elneveztem a kutyámat...,spizecnek,spizecnak,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,gúdenben,gúdenban,left,2.388,0,49,49,4,1,59,gúden,gúden,ban,e,Ez itt egy gúden.,Ott vagyunk a...,gúdenben,gúdenban,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,péleslek,péleslem,left,4.14,0,50,50,73,1,74,péleslik,péleslesz,NA,NA,Te bizony sokat péleslesz.,Én is sokat...,péleslek,péleslem,lakik,-lik,2,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
,,,,,,,,,,,,,,,,,navecban,navecben,left,3.224,0,51,51,8,1,63,navec,navec,ban,e,Ez itt egy navec.,Ott vagyunk a...,navecben,navecban,dzsungel,NA,NA,PR2002,2000,nő,nem,2022-03-29_16h08.21.422,hesp_baseline,2021.2.3,MacIntel,16.66666667
